Name,Type,Phone Number,Website,Types,GPS Coordinates,Address
Corazón de Pachamama,Retreat center,+593 99 531 1293,https://corazondepachamama.org/,Retreat center,"-4.2060894, -79.22639389999999","Via El Carmen, Landangui 110104, Ecuador"
Mexisoul Retreats,Retreat center,(775) 340-8138,https://mexisoulretreats.com/,Retreat center,"20.855229599999998, -102.83436689999999","Finca el Pendulo, Camino al Saucillo 861, 47600 Jal., Mexico"
Sayulita Wellness Retreat,Retreat center,(833) 700-1002,http://sayulitawellnessretreat.com/,Retreat center,"20.7402809, -105.39222749999999","Carretera Punta de Mita, Number 406, 63732 Cruz de Huanacaxtle, Nay., Mexico"
Holy Name Passionist Retreat Center,Retreat center,(713) 464-0211,https://holynameretreatcenter.com/,Retreat center,"29.765020099999997, -95.5286496","430 Bunker Hill Rd, Houston, TX 77024"
Lotus Ranch Retreat Center,Retreat center,(512) 847-6633,https://lotusranch.org/,Retreat center,"30.005063399999997, -98.159403","525 Fischer Trail, Wimberley, TX 78676"
Sanctus Ranch Retreat Center,Retreat center,(830) 322-3050,http://sanctusranch.com/,Retreat center,"29.6974639, -98.9693527","2647 River Bluff Cir, Pipe Creek, TX 78063"
The Spirit Center,Retreat center,(361) 888-7537,https://www.bluntzerspiritcenter.org/,Retreat center,"27.910258, -97.7861088","5528 FM3088, Robstown, TX 78380"
"Beyond Yoga Retreat - All Inclusive Wellness Resort and Spa In Puerto Vallarta, Mexico",Yoga retreat center,(888) 960-6149,http://www.beyondyogaretreat.com/,Yoga retreat center,"20.5935636, -105.23951029999999","Cda. de Los Pinos 134, Amapas - Conchas Chinas, 48390 Puerto Vallarta, Jal., Mexico"
Golden Hill Retreat,Retreat center,(832) 373-9463,http://www.goldenhillretreat.com/,"Retreat center,Wellness center","30.6114243, -95.1426398","7160 Farm to Market Rd 224, Coldspring, TX 77331"
Hacienda Retreats,Retreat center,,https://www.haciendaretreats.com/,Retreat center,"18.7278456, -99.37913119999999","José María Morelos, 62636 Santa Cruz Vista Alegre, Mor., Mexico"
Spiritual Renewal Center,Retreat center,(361) 572-0836,https://victoriadiocese.org/spiritual-renewal-center,Retreat center,"28.551090199999997, -97.0972366","718 Gussie Schmidt Rd, Victoria, TX 77905"
Rukhsanas Wellness & Heavenly Retreat,Wellness center,+52 624 229 4604,http://www.retreatcabo.com/,"Wellness center,Lodging","22.9758386, -109.7980305","Unnamed Road, 23405 San José del Cabo, B.C.S., Mexico"
The Mission Within,Retreat center,,https://missionwithin.org/,"Retreat center,Service establishment","46.423669, -129.9427086",
Omega Retreat Center,Retreat center,(830) 816-8470,https://boernebenedictines.org/omega-retreat-center/,Retreat center,"29.785465199999997, -98.73389429999999","316 W Highland Dr Suite 100C, Boerne, TX 78006"
Holistic View Retreats,Yoga retreat center,(713) 804-7984,https://www.holisticviewretreats.com/,"Yoga retreat center,Life coach,Naturopathic practitioner,Yoga instructor","29.7694807, -95.4121948","5019 Lillian St, Houston, TX 77007"
Spiritual Living School,Retreat center,(512) 709-1488,https://www.spirituallivingschool.com/,Retreat center,"30.101685, -98.2542239","11911 FM2325, Wimberley, TX 78676"
El Shaddai Retreat Center,Retreat center,(361) 491-1291,https://www.retreattoelshaddai.com/,Retreat center,"28.9412463, -97.44834039999999","3004 FM884, Yorktown, TX 78164"
Moye Retreat Center,Retreat center,(830) 931-2233,https://www.cdptexas.org/moye-retreat-center/,Retreat center,"29.355317799999998, -98.8789516","600 London St, Castroville, TX 78009"
Nazareth Retreat Center,Retreat center,(469) 233-5547,http://nazarethretreats.org/,Retreat center,"32.7653513, -97.0263968","1814 Egyptian Way, Grand Prairie, TX 75050"
Blue Lotus Integrative Therapeutics LLC,Yoga retreat center,(713) 382-5793,http://www.blitwellness.com/,"Yoga retreat center,Service establishment","29.558898, -95.721959",
Hygieia Holistic Retreat,Retreat center,(469) 403-1999,http://hygieiaholisticretreat.com/,"Retreat center,Service establishment","33.196784, -96.48987939999999",
Root Healing - Bwiti Iboga Retreats and Healing,Retreat center,(800) 620-7053,http://roothealing.com/,Retreat center,"38.804333299999996, -9.3802086","R. Particular 6, 2710-624 Sintra, Portugal"
Strawberry Tree,Retreat center,+351 934 155 230,http://www.strawberrytree.pt/,Retreat center,"38.0880089, -8.668127499999999","cxp 5, 7540-523, Portugal"
Brejo Fundeiro Retreat,Retreat center,+351 274 801 225,https://portugalretreat.com/,"Retreat center,Yoga retreat center","39.7948191, -8.2393863","Brejo Fundeiro, Portugal, 6100-209, Portugal"
Vale de Moses Yoga Retreat,Yoga retreat center,+351 272 634 006,http://www.valedemoses.com/,"Yoga retreat center,Acupuncture clinic,Massage therapist,Retreat center,Spa,Vegan restaurant,Vegetarian cafe and deli,Yoga instructor,Yoga studio","39.983595, -7.918744899999999","Yoga Retreat, Vale de Moses, 6160-052 Amieira, Portugal"
WOLFS YOGA - Yoga & Meditation Retreats Portugal,Yoga retreat center,+351 910 838 634,https://wolfsyoga.com/,"Yoga retreat center,Meditation center,Yoga instructor","37.0856071, -8.922173899999999","Quinta do Ponte Sitio dos Arneiros Caixa, postal 512, 8650-400 Vila do Bpo., Portugal"
INME Wellness Retreats,Retreat center,+39 348 039 4779,http://www.inmewellness.com/,Retreat center,"41.3937844, 2.1518158","Carrer d'Aribau, 177, L'Eixample, 08036 Barcelona, Spain"
Root2Rise,Retreat center,+44 7881 824228,https://www.root2rise.co.uk/,Retreat center,"54.098171, -0.871872","White House, Crambeck, York YO60 7EL, United Kingdom"
Under The Canopy Plant Medicine Healing Center,Retreat center,+51 923 674 662,,Retreat center,"-3.2970313, -72.9648208","16100, Peru, 16100, Peru"
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
Arkana Spiritual Center : Yucatan,Wellness center,,,Wellness center,"20.8872742, -88.9902992","Carretera, 97540 Izamal, Yuc., Mexico"
Copal Retreat,Yoga retreat center,+1 306-717-5873,http://www.copalretreat.com/,Yoga retreat center,"20.5221196, -87.1897474","Km 85 Carretera Cancun-Tulum, Paamul, 77735 Playa del Carmen, Q.R., Mexico"
Casa Arkaana,Wellness center,+52 33 1857 7335,http://casaarkaana.com/,Wellness center,"20.369859599999998, -87.3868763","Aldea Coral, 77774 Tulum, Q.R., Mexico"
BlissEden Ayahuasca Retreat Center Mexico,Retreat center,+52 998 804 7928,https://blisseden.community/,"Retreat center,Alternative medicine practitioner,Holistic medicine practitioner","20.3428237, -87.5680376","Carretera Tulum-Coba, KM 17.5, 77796 Tulum, Q.R., Mexico"
Aloee Wellness,Wellness center,(888) 303-7098,http://aloeewellness.com/,Wellness center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Holistic Tikun - Cozumel Retreat & Eco Center,Yoga retreat center,+52 987 117 2693,http://holistictikun.org/,Yoga retreat center,"20.4742851, -86.97061149999999","Calle Zaramullo 6, Huertos Familiares, 77673 Cozumel, Q.R., Mexico"
Healing Retreat,Wellness center,+52 55 2343 8711,https://healinginmexico.com/,"Wellness center,Meditation center,Wellness program","20.9690385, -87.1199798","Ruta de los Cenotes, 77710 Q.R., Mexico"
Lunita Jungle Retreat,Retreat center,+52 984 269 3333,https://www.lunitajungleretreat.com/,"Retreat center,Meditation center,Yoga retreat center","20.871367799999998, -87.0648707","Ruta de los cenotes km 17, 77584 Puerto Morelos, Q.R., Mexico"
Jeela - Mystical Music Retreat,Retreat center,+52 998 158 2192,http://www.jeela.co/,"Retreat center,Service establishment","23.5541269, -102.62049999999999",
Yäan Wellness,Herbal medicine store,+52 984 314 3767,https://yaanhealingsanctuary.com/,"Herbal medicine store,Health spa,Spa","20.137078, -87.463652","Carretera Boca Paila KM 10, Quintana Roo 15, 77760 Tulum, Q.R., Mexico"
Retreats Puerto Morelos,Retreat center,,https://www.ayamadreverde.com/,Retreat center,"20.888941499999998, -87.0913228","Ruta de los cenotes Km 20 Carretera, Quintana Roo Puerto Morelos - Leona Vicario Leona Vicario, 77580 Puerto Morelos, Q.R., Mexico"
Sanctuary Tulum,Alternative medicine practitioner,(323) 612-2024,https://www.sanctuarytulum.com/,Alternative medicine practitioner,"20.2332362, -87.4165392","Carretera Federal Tulum km 230 + 201, 77780 Tulum, Q.R., Mexico"
Bufo Alvarius Sanctuary,Wellness center,+52 984 745 9057,http://bufoalvariussanctuary.com/,"Wellness center,Health resort,Health spa,Hotel","20.2086296, -87.4517517","Av. Coba Sur, 77793 Tulum, Q.R., Mexico"
Xanga Guru,Wellness center,+52 984 144 5217,https://xanga.guru/,Wellness center,"20.693289699999998, -87.0594327","C/O Pueblo Sacbe, Av. Paseos del Mayab 4590, La Guadalupana, 77724 Playa del Carmen, Q.R., Mexico"
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
SET & SETTING Retreat - Psychedelisches Psilocybin Retreat,Retreat center,+49 1515 4998051,https://www.setandsetting-retreat.com/,Retreat center,"52.3352739, 4.9348535","Joop Geesinkweg 901-999, 1114 AB Amsterdam, Netherlands"
Inwardbound Institute (Psilocybin Retreats),Retreat center,+31 20 217 0291,https://inwardbound.nl/,Retreat center,"52.5733514, 4.6515327","Noorderstraat 2, 1901 MT Castricum, Netherlands"
Mushroom Tao,Retreat center,(626) 491-4313,http://www.mushroomtao.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
OMMIJ | World's No.1 Ayahuasca Ceremonies and Retreats,Retreat center,,http://www.om-mij.nl/,"Retreat center,Meditation center,Alternative medicine practitioner,Yoga retreat center","51.969024999999995, 6.294517","Paul Krugerlaan 28, 7001 DH Doetinchem, Netherlands"
Alamyn,Retreat center,,https://alamyn.com/,Retreat center,"52.152090799999996, 5.0773902","Oudedijk 16, 3612 AB Tienhoven, Netherlands"
SET & SETTING Retreat - Psychedelisches Psilocybin Retreat,Retreat center,+49 1515 4998051,https://www.setandsetting-retreat.com/,Retreat center,"52.3352739, 4.9348535","Joop Geesinkweg 901-999, 1114 AB Amsterdam, Netherlands"
Inwardbound Institute (Psilocybin Retreats),Retreat center,+31 20 217 0291,https://inwardbound.nl/,Retreat center,"52.5733514, 4.6515327","Noorderstraat 2, 1901 MT Castricum, Netherlands"
OMMIJ | World's No.1 Ayahuasca Ceremonies and Retreats,Retreat center,,http://www.om-mij.nl/,"Retreat center,Meditation center,Alternative medicine practitioner,Yoga retreat center","51.969024999999995, 6.294517","Paul Krugerlaan 28, 7001 DH Doetinchem, Netherlands"
Mushroom Tao,Retreat center,(626) 491-4313,http://www.mushroomtao.com/,"Retreat center,Service establishment","8.2588996, -84.93997039999999",
Alamyn,Retreat center,,https://alamyn.com/,Retreat center,"52.152090799999996, 5.0773902","Oudedijk 16, 3612 AB Tienhoven, Netherlands"
Alma Healing Center - Ayahuasca Retreat Ecuador,Retreat center,+593 98 527 1478,https://almahealingcenter.com/,Retreat center,"-0.2556538, -78.4054086","Via al Ilalo, 170902, Ecuador"
Awakenings Ayahuasca Retreat Museo Etnográfico Tsáchila / Fitseyah Cabins,Retreat center,+593 98 044 0627,http://awakeningsayahuasca.com/,"Retreat center,Campground,Cottage,Cultural center,Holistic medicine practitioner,Massage spa,Plant nursery,Sauna","-0.32018749999999996, -79.2133125","Santo Domingo, Ecuador"
Hayulima: Ayahuasca and plant medicine retreats,Nature preserve,,http://www.hayulima.com/,"Nature preserve,Youth hostel","-0.09039509999999999, -78.8026072","Via el Cinto - Lloa n⁰7, Mindo 171202, Ecuador"
Jungle Harmony,Retreat center,(305) 793-2017,https://www.jungleharmony.com/,Retreat center,"0.8939899, -76.7633668","punta vides, Villagarzón, Putumayo, Colombia"
Evolve plant medicine retreats,Retreat center,+57 317 7463410,https://jennymartiny.com/events/,Retreat center,"3.4457571, -76.54886789999999","Cl. 8a Oe., Cali, Valle del Cauca, Colombia"
Under The Canopy Plant Medicine Healing Center,Retreat center,+51 923 674 662,,Retreat center,"-3.2970313, -72.9648208","16100, Peru, 16100, Peru"
Mount Carmel Center,Retreat center,(214) 331-6224,http://mountcarmelcenter.org/,Retreat center,"32.748454599999995, -96.9016547","4600 W Davis St, Dallas, TX 75211"
Nazareth Retreat Center,Retreat center,(469) 233-5547,http://nazarethretreats.org/,Retreat center,"32.7653513, -97.0263968","1814 Egyptian Way, Grand Prairie, TX 75050"
The Sanctuary,Retreat center,(917) 257-6953,http://www.thesanctuaryheal.com/,"Retreat center,Holistic medicine practitioner,Reiki therapist,Alternative medicine practitioner,Spiritist center","41.7674301, -75.0449476","132 Hospital Rd, Callicoon, NY 12723"
Connect to the Kingdom,Retreat center,(214) 718-1062,http://www.tsumc.org/#/ministries/connect-to-the-kingdom,Retreat center,"32.744873, -96.839225","938 W 10th St, Dallas, TX 75208"
Under The Canopy Plant Medicine Healing Center,Retreat center,+51 923 674 662,,Retreat center,"-3.2970313, -72.9648208","16100, Peru, 16100, Peru"
Ascend Camp & Retreat Center,Retreat center,(469) 998-2267,https://www.ascendtexas.com/,"Retreat center,Archery range,High ropes course,Horseback riding service,Outdoor movie theater,Paintball center,Children's camp,Summer camp,Swimming pool","32.6858304, -96.932368","5218 Kiwanis Rd, Dallas, TX 75236"
Plant Life Journey Retreats,Retreat center,(269) 906-2226,https://plantlifejourney.com/,"Retreat center,Cooking class,Cooking school,Service establishment,Health resort,Health spa,Wellness program,Weight loss service,Yoga retreat center","46.423669, -129.9427086",
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
Montserrat Jesuit Retreat House,Retreat center,(940) 321-6020,http://montserratretreat.org/,"Retreat center,Religious organization","33.138417, -97.02176899999999","600 N Shady Shores Rd, Lake Dallas, TX 75065"
Sacred Waters Sanctuary,Retreat center,,http://sacredwaterssanctuary.org/,"Retreat center,Meditation center,Non-profit organization,Wellness center,Yoga studio","45.495568, -122.5961105","3704 SE 65th Ave, Portland, OR 97206"
CCFC- Saint Raphael Retreat Center,Retreat center,(214) 943-6585,http://www.ccfcdal.org/,"Retreat center,Conference center,Event venue","32.7367324, -96.8273849","901 S Madison Ave, Dallas, TX 75208"
Mind Body Ecology Institute,Retreat center,,https://www.mindbodyecologyinstitute.org/,"Retreat center,Heritage preservation,Educational institution,Wellness program,Yoga instructor,Yoga retreat center","32.7233738, -97.3416349","1916 Fairmount Ave, Fort Worth, TX 76110"
"Quiet Mind Mountain Lodge, Retreat & Spa",Retreat center,(844) 999-9644,http://www.quietmindretreat.com/,"Retreat center,Health resort,Health spa,Hotel,Meditation center,Resort hotel,Spa,Wellness center,Wellness program","32.992393, -116.58368","34540 Engineers Rd, Julian, CA 92036"
Luxury Executive Wellness,Retreat center,(707) 722-7032,http://www.luxuryexecutivewellness.com/,"Retreat center,Service establishment,Event management company,Health resort,Wellness program","43.039316799999995, -109.54615749999999",
SoCal Wellness Retreats,Retreat center,(516) 423-2011,https://www.socalwellnessretreats.com/,"Retreat center,Meditation center,Wellness program","32.9016916, -117.1592108","7606 Northrup Dr, San Diego, CA 92126"
Rainbow Hearth Sanctuary & Retreat,Retreat center,(512) 756-7878,https://www.rainbowhearth.com/,"Retreat center,Massage spa,Bed & breakfast","30.8691671, -98.42420729999999","1330 Waterway Ln, Burnet, TX 78611"
Holy Name Passionist Retreat Center,Retreat center,(713) 464-0211,https://holynameretreatcenter.com/,Retreat center,"29.765020099999997, -95.5286496","430 Bunker Hill Rd, Houston, TX 77024"
Hygieia Holistic Retreat,Retreat center,(469) 403-1999,http://hygieiaholisticretreat.com/,"Retreat center,Service establishment","33.196784, -96.48987939999999",
Shamanic Healing Retreat,Retreat center,(305) 979-7327,http://shamanhealingretreat.com/,Retreat center,"26.5417979, -80.04657379999999","81 Island Dr S, Boynton Beach, FL 33435"
Emmaus Spirituality Center,Retreat center,(281) 241-9678,https://emmausspiritualitycenter.com/,Retreat center,"29.7629032, -95.5436094","12211 Memorial Dr, Houston, TX 77024"
Arkana Spiritual Center : Yucatan,Wellness center,,,Wellness center,"20.8872742, -88.9902992","Carretera, 97540 Izamal, Yuc., Mexico"
Copal Retreat,Yoga retreat center,+1 306-717-5873,http://www.copalretreat.com/,Yoga retreat center,"20.5221196, -87.1897474","Km 85 Carretera Cancun-Tulum, Paamul, 77735 Playa del Carmen, Q.R., Mexico"
BlissEden Ayahuasca Retreat Center Mexico,Retreat center,+52 998 804 7928,https://blisseden.community/,"Retreat center,Alternative medicine practitioner,Holistic medicine practitioner","20.3428237, -87.5680376","Carretera Tulum-Coba, KM 17.5, 77796 Tulum, Q.R., Mexico"
Casa Arkaana,Wellness center,+52 33 1857 7335,http://casaarkaana.com/,Wellness center,"20.369859599999998, -87.3868763","Aldea Coral, 77774 Tulum, Q.R., Mexico"
Aloee Wellness,Wellness center,(888) 303-7098,http://aloeewellness.com/,Wellness center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Holistic Tikun - Cozumel Retreat & Eco Center,Yoga retreat center,+52 987 117 2693,http://holistictikun.org/,Yoga retreat center,"20.4742851, -86.97061149999999","Calle Zaramullo 6, Huertos Familiares, 77673 Cozumel, Q.R., Mexico"
Healing Retreat,Wellness center,+52 55 2343 8711,https://healinginmexico.com/,"Wellness center,Meditation center,Wellness program","20.9690385, -87.1199798","Ruta de los Cenotes, 77710 Q.R., Mexico"
Lunita Jungle Retreat,Retreat center,+52 984 269 3333,https://www.lunitajungleretreat.com/,"Retreat center,Meditation center,Yoga retreat center","20.871367799999998, -87.0648707","Ruta de los cenotes km 17, 77584 Puerto Morelos, Q.R., Mexico"
Jeela - Mystical Music Retreat,Retreat center,+52 998 158 2192,http://www.jeela.co/,"Retreat center,Service establishment","23.5541269, -102.62049999999999",
Yäan Wellness,Herbal medicine store,+52 984 314 3767,https://yaanhealingsanctuary.com/,"Herbal medicine store,Health spa,Spa","20.137078, -87.463652","Carretera Boca Paila KM 10, Quintana Roo 15, 77760 Tulum, Q.R., Mexico"
Retreats Puerto Morelos,Retreat center,,https://www.ayamadreverde.com/,Retreat center,"20.888941499999998, -87.0913228","Ruta de los cenotes Km 20 Carretera, Quintana Roo Puerto Morelos - Leona Vicario Leona Vicario, 77580 Puerto Morelos, Q.R., Mexico"
Sanctuary Tulum,Alternative medicine practitioner,(323) 612-2024,https://www.sanctuarytulum.com/,Alternative medicine practitioner,"20.2332362, -87.4165392","Carretera Federal Tulum km 230 + 201, 77780 Tulum, Q.R., Mexico"
Bufo Alvarius Sanctuary,Wellness center,+52 984 745 9057,http://bufoalvariussanctuary.com/,"Wellness center,Health resort,Health spa,Hotel","20.2086296, -87.4517517","Av. Coba Sur, 77793 Tulum, Q.R., Mexico"
Xanga Guru,Wellness center,+52 984 144 5217,https://xanga.guru/,Wellness center,"20.693289699999998, -87.0594327","C/O Pueblo Sacbe, Av. Paseos del Mayab 4590, La Guadalupana, 77724 Playa del Carmen, Q.R., Mexico"
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
Mexisoul Retreats,Retreat Center,(775) 340-8138,https://mexisoulretreats.com/,Retreat Center,"20.855229599999998, -102.83436689999999","Finca el Pendulo, Camino al Saucillo 861, 47600 Jal., Mexico"
Arkana Spiritual Center : Yucatan,Wellness center,,,Wellness center,"20.8872742, -88.9902992","Carretera, 97540 Izamal, Yuc., Mexico"
Casa Arkaana,Wellness center,+52 33 1857 7335,http://casaarkaana.com/,Wellness center,"20.369859599999998, -87.3868763","Aldea Coral, 77774 Tulum, Q.R., Mexico"
Copal Retreat,Yoga retreat center,+1 306-717-5873,http://www.copalretreat.com/,Yoga retreat center,"20.5221196, -87.1897474","Km 85 Carretera Cancun-Tulum, Paamul, 77735 Playa del Carmen, Q.R., Mexico"
BlissEden Ayahuasca Retreat Center Mexico,Retreat center,+52 998 804 7928,https://blisseden.community/,"Retreat center,Alternative medicine practitioner,Holistic medicine practitioner","20.3428237, -87.5680376","Carretera Tulum-Coba, KM 17.5, 77796 Tulum, Q.R., Mexico"
Jeela - Mystical Music Retreat,Retreat center,+52 998 158 2192,http://www.jeela.co/,"Retreat center,Service establishment","23.5541269, -102.62049999999999",
Aloee Wellness,Wellness center,(888) 303-7098,http://aloeewellness.com/,Wellness center,"20.6247451, -87.0828198","C. 3 Sur con-Av. 40, Centro, 77710 Playa del Carmen, Q.R., Mexico"
Sanctuary Tulum,Alternative medicine practitioner,(323) 612-2024,https://www.sanctuarytulum.com/,Alternative medicine practitioner,"20.2332362, -87.4165392","Carretera Federal Tulum km 230 + 201, 77780 Tulum, Q.R., Mexico"
Retreats Puerto Morelos,Retreat center,,https://www.ayamadreverde.com/,Retreat center,"20.888941499999998, -87.0913228","Ruta de los cenotes Km 20 Carretera, Quintana Roo Puerto Morelos - Leona Vicario Leona Vicario, 77580 Puerto Morelos, Q.R., Mexico"
Healing Retreat,Wellness center,+52 55 2343 8711,https://healinginmexico.com/,"Wellness center,Meditation center,Wellness program","20.9690385, -87.1199798","Ruta de los Cenotes, 77710 Q.R., Mexico"
Yäan Wellness,Herbal medicine store,+52 984 314 3767,https://yaanhealingsanctuary.com/,"Herbal medicine store,Health spa,Spa","20.137078, -87.463652","Carretera Boca Paila KM 10, Quintana Roo 15, 77760 Tulum, Q.R., Mexico"
Holistic Tikun - Cozumel Retreat & Eco Center,Yoga retreat center,+52 987 117 2693,http://holistictikun.org/,Yoga retreat center,"20.4742851, -86.97061149999999","Calle Zaramullo 6, Huertos Familiares, 77673 Cozumel, Q.R., Mexico"
Lunita Jungle Retreat,Retreat center,+52 984 269 3333,https://www.lunitajungleretreat.com/,"Retreat center,Meditation center,Yoga retreat center","20.871367799999998, -87.0648707","Ruta de los cenotes km 17, 77584 Puerto Morelos, Q.R., Mexico"
Bufo Alvarius Sanctuary,Wellness center,+52 984 745 9057,http://bufoalvariussanctuary.com/,"Wellness center,Health resort,Health spa,Hotel","20.2086296, -87.4517517","Av. Coba Sur, 77793 Tulum, Q.R., Mexico"
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
Anam Cara Retreats,Retreat center,(914) 510-4315,http://anamcarahealingretreats.com/,Retreat center,"-13.3069375, -72.01243749999999","MXVQ+62W, 08120, Peru"
Healing Tree Center,Holistic medicine practitioner,+51 993 662 522,https://healingtreeayahuasca.com/,"Holistic medicine practitioner,Alternative medicine practitioner","-13.519205999999999, -71.9766509","Pampa De Castillo 455, Cusco 08000, Peru"
"Michi Hampi - Ayahuasca Healing Community in Pisac, Sacred Valley",Retreat center,+49 1512 2287075,http://www.instagram.com/michihampi,"Retreat center,Alternative medicine practitioner","-13.4034695, -71.831456","CU-112, Písac 08105, Peru"
Arkana Spiritual Center : Sacred Valley - Ayahuasca Retreat,Retreat center,+51 924 022 272,http://www.arkanainternational.com/,"Retreat center,Spa","-13.287565599999999, -72.1555758","Carretera a, Maras 08660, Peru"
Novalis - Ayahuasca Retreat,Retreat center,+51 999 492 878,http://www.wearenovalis.com/,"Retreat center,Alternative medicine practitioner,Environmental protection organization,Lodge","-12.5121107, -69.2718192","Jiron Arequipa 281, Puerto Maldonado 17000, Peru"
Huachuma Wasi,Retreat center,+51 984 029 290,https://www.huachumawasi.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5897722755299511049,Retreat center,"-13.3114406, -71.9499098","Banderayok, Piste, Calca 08120, Peru"
Ayasana Wasi Healing & Retreats,Retreat center,+51 951 798 579,http://www.ayasanawasi.com/,"Retreat center,Alternative medicine practitioner,Yoga studio","-13.424458099999999, -71.8389772","Tambo de Gozo, Písac 08105, Peru"
Sacred Valley Tribe - Maha Templo,Retreat center,+51 984 603 603,http://sacredvalleytribe.com/,"Retreat center,Alternative medicine practitioner","-13.471469899999999, -71.81644349999999","Km 24, La Pacha, Ccoscco Ayllu San Salvador, 08150, Peru"
Apu Healing Center,Wellness hotel,+51 943 766 393,http://www.apuhealingcenter.com/,Wellness hotel,"-13.323623999999999, -72.02975459999999","Huycho 08670, Peru"
Under The Canopy Plant Medicine Healing Center,Retreat center,+51 923 674 662,,Retreat center,"-3.2970313, -72.9648208","16100, Peru, 16100, Peru"
Onaya Ayahuasca Retreat,Retreat center,+51 974 539 330,http://www.onayaretreat.com/,Retreat center,"-13.1630559, -72.54492979999999","08680, Peru"
Under The Canopy Plant Medicine Healing Center,Retreat Center,+51 923 674 662,,Retreat Center,"-3.2970313, -72.9648208","16100, Peru, 16100, Peru"
"Vikaralifestyle: Best Ayahuasca, Surf & Yoga Retreats center",Retreat center,+593 98 527 6690,http://www.vikaralifestyle.com/,"Retreat center,Hotel,Yoga studio","-1.7963691, -80.7594795","C. Rosa Mistica, Olon 241753, Ecuador"
Alma Healing Center - Ayahuasca Retreat Ecuador,Retreat center,+593 98 527 1478,https://almahealingcenter.com/,Retreat center,"-0.2556538, -78.4054086","Via al Ilalo, 170902, Ecuador"
Ayllu Medicina,Retreat center,,http://www.ayllumedicina.com/,Retreat center,"-1.8550904, -80.740819","Frente ALa Gasolinera, Cerro Manglaralto, A La Entrada De Manglaralto, manglaralto 241754, Ecuador"
Hayulima: Ayahuasca and plant medicine retreats,Nature preserve,,http://www.hayulima.com/,"Nature preserve,Youth hostel","-0.09039509999999999, -78.8026072","Via el Cinto - Lloa n⁰7, Mindo 171202, Ecuador"
Awakenings Ayahuasca Retreat Museo Etnográfico Tsáchila / Fitseyah Cabins,Retreat center,+593 98 044 0627,http://awakeningsayahuasca.com/,"Retreat center,Campground,Cottage,Cultural center,Holistic medicine practitioner,Massage spa,Plant nursery,Sauna","-0.32018749999999996, -79.2133125","Santo Domingo, Ecuador"
Sacha Wasi,Retreat center,+593 96 718 2789,https://www.facebook.com/SACHA-WASI-1799711480280118/,"Retreat center,Event venue","-1.6239994, -77.9147869","93GP+C34, Parroquia Tarqui, Ecuador"
LeSound Retreats - Plant Medicine Retreat Center,Retreat center,(505) 604-2879,http://www.lesoundretreats.com/,Retreat center,"26.1660893, -80.11463599999999","2501 NE 30th St, Fort Lauderdale, FL 33306"
Sacha Wasi Ayahuasca Retreat - Ecuador,Retreat center,(305) 942-6378,https://www.sachawasi.org/,Retreat center,"-1.4928811, -77.99980339999999","15 KM Via, Puyo 000000, Ecuador"
Be Free Retreat Center,Retreat center,,https://www.befreeretreat.com/,Retreat center,"38.7895892, 0.047621199999999995","Partida Cometes, 40, 03750 Pedreguer, Alicante, Spain"
INME Wellness Retreats,Retreat center,+39 348 039 4779,http://www.inmewellness.com/,Retreat center,"41.3937844, 2.1518158","Carrer d'Aribau, 177, L'Eixample, 08036 Barcelona, Spain"
Root Healing - Bwiti Iboga Retreats and Healing,Retreat center,(800) 620-7053,http://roothealing.com/,Retreat center,"38.804333299999996, -9.3802086","R. Particular 6, 2710-624 Sintra, Portugal"
Brejo Fundeiro Retreat,Retreat center,+351 274 801 225,https://portugalretreat.com/,"Retreat center,Yoga retreat center","39.7948191, -8.2393863","Brejo Fundeiro, Portugal, 6100-209, Portugal"
Strawberry Tree,Retreat center,+351 934 155 230,http://www.strawberrytree.pt/,Retreat center,"38.0880089, -8.668127499999999","cxp 5, 7540-523, Portugal"
